channel,degree_centrality,betweenness_centrality,pagerank
Marzia,0.052835676199709164,0.02171511117924805,0.001303550700125217
The Dodo,0.02035870092098885,0.003153976911379278,0.0013018312276390311
What's Inside?,0.060106640814348036,0.012937307478869769,0.0013013770033082376
Disney Movie Trailers,0.03053805138148328,0.0006007090855205446,0.0013002369591661664
ImagineDragonsVEVO,0.09306834706737761,0.002142398830139458,0.0012904941447695604
Paramount Pictures,0.029083858458555503,0.002083864670913488,0.0012794136134769893
Movieclips Trailers,0.02617547261269995,0.0017305361062330573,0.0012756065358195965
Jenny Nicholson,0.03538536112457586,0.008671367921710844,0.0012755478609484425
MatthewSantoro,0.07077072224915172,0.01695588949062218,0.0012638040312309058
Domics,0.031507513330101794,0.0002862586498832068,0.0012483118366031969
TIME,0.034415899175957346,6.214463406481684e-05,0.0012452646778945114
Glam&Gore,0.11342704798836646,0.006618915361082992,0.0012366063519049458
ArianaGrandeVevo,0.053320407174018425,6.579788699902633e-05,0.0012364701690527299
Amber Scholl,0.05138148327678139,0.0003305730410282725,0.0012350164040226882
SZAVEVO,0.06349975763451285,0.0022561785724500693,0.001233952890803927
BANGTANTV,0.09064469219583132,0.006093587975922873,0.0012268743436504755
FC Barcelona,0.10130877363063501,0.02157603330352062,0.0012263820270481316
Gibi ASMR,0.0722249151720795,4.14940734789831e-05,0.0012148068613981274
Glamour Magazine,0.07852641783809985,0.00025948950385132856,0.0012121240415037865
Mr. Kate,0.057682985942801746,0.0008534786994694622,0.0012065911668597763
NBC Sports,0.025206010664081437,0.001725637574976181,0.0011996792675875883
ANDREW HUANG,0.0756180319922443,0.002111449699473378,0.0011990640020811717
SigridVEVO,0.06786233640329617,0.00034562371503125375,0.0011965228052744198
NickiMinajAtVEVO,0.048473097430925836,5.229920683727041e-05,0.0011932079426921144
ScreenJunkies News,0.12263693650024238,0.0022411341134947727,0.0011923140199752668
theneedledrop,0.08531265147842948,0.0009824827232221966,0.001190831259954743
Lele Pons,0.04992729035385361,0.006220623529029476,0.0011794677117175534
How To Cook That,0.055744062045564716,0.0017212833273851029,0.0011777342975773715
Red Bull,0.034415899175957346,0.004964269004517678,0.0011765641369383783
KathleenLights,0.04750363548230732,0.0007088664497382445,0.001174772683496238
KeithUrbanVEVO,0.0804653417353369,0.0020745292336748853,0.0011736626366652596
The New York Times,0.033931168201648085,0.0019350938729991586,0.0011730246134151743
VH1,0.06931652932622395,7.419241209378908e-05,0.0011683060386246248
LOL Network,0.028599127484246246,7.112297327999271e-06,0.0011649078749558553
David Guetta,0.0722249151720795,0.00038966315592639154,0.0011639585940302795
ZaynVEVO,0.05719825496849249,5.135878143606089e-05,0.0011601717120126454
Matthias,0.06156083373727581,0.017109012821769267,0.001148900187524298
Gus Johnson,0.04701890450799806,0.0007232509090935248,0.001144024750067663
RM Videos,0.07610276296655356,0.020235394502790754,0.0011352299296970673
National Geographic,0.09500727096461464,0.08314884753613717,0.0011305090186942966
CalvinHarrisVEVO,0.06689287445467766,0.0013714613456016769,0.0011290689926666605
Wong Fu Productions,0.1037324285021813,0.0019812435639158157,0.0011269536103817675
Daily Dose Of Internet,0.06689287445467766,0.00017622321640939242,0.0011261131291106145
Janelle Monáe,0.06398448860882211,0.00015728076376522404,0.0011248324000084809
Fueled By Ramen,0.0814348036839554,0.0014621564049983825,0.0011227843146027195
emmymadeinjapan,0.04798836645661658,0.002932969510731202,0.001121685883314508
The Hollywood Reporter,0.11682016480853127,0.0029854803404405555,0.0011101970646952806
Jackie Aina,0.05865244789142027,0.0005748616056851074,0.0011011071437422415
BostonDynamics,0.02714493456131847,0.0005530164502607581,0.001096311165350948
BuzzFeed Celeb,0.06204556471158507,0.013202899578050053,0.0010926626891612284
Lucas and Marcus,0.060106640814348036,0.0003015830848545028,0.001083525188705315
TBS,0.09015996122152206,0.002455079771490601,0.0010665865682303267
bill wurtz,0.06204556471158507,0.01173042433468528,0.0010661424102358754
Panic! At The Disco,0.055744062045564716,0.0014462573524009145,0.001065162760254637
The CW Television Network,0.1037324285021813,0.0002615672451595949,0.0010638896152324836
Tech Insider,0.03344643722733883,0.009953860651887518,0.001062426142024748
Marshmello,0.06883179835191469,0.0004636054706703866,0.0010619688098865653
ViralHog,0.05186621425109065,0.03362500608143231,0.0010617273459295165
Numberphile,0.026660203587009212,0.0004900272543378174,0.0010613243378441528
Markiplier,0.05865244789142027,0.011377375448886022,0.0010576661241426344
The Real Daytime,0.10518662142510907,0.001570354997944653,0.0010524723479155573
Studio C,0.02956858943286476,8.641993902213849e-05,0.001051974978684591
LIVEKellyandRyan,0.10664081434803685,0.003015660617478389,0.0010479029032395709
carrieunderwoodVEVO,0.06156083373727581,0.0010358333752401529,0.0010462437642426508
Rooster Teeth,0.02084343189529811,0.00020182310350700744,0.001045448384653124
Dancing With The Stars,0.08191953465826467,0.00035696245016287795,0.001042198519495541
ChrisStapletonVEVO,0.08288899660688319,0.01896414941972746,0.001030826206485055
Guardian News,0.036354823073194376,0.001180950324399473,0.0010280335495677616
Carli Bybel,0.03344643722733883,2.3720944155011103e-07,0.0010203831607818324
MLG Highlights,0.024236548715462918,0.0037982286974826817,0.0010159361167822367
ONE Media,0.028114396509936985,0.0006877933081761092,0.0010107051175370083
Madelaine Petsch,0.0407174018419777,0.0007752292626869869,0.0010101167408591144
Cobra Kai,0.07028599127484246,0.00013687697574564172,0.0010090065583732448
Jeremy Jahns,0.10082404265632575,0.001627662124312136,0.0010054405120946876
Amazon Studios,0.025690741638390694,0.0009307868410834111,0.001004526535631143
FlorenceMachineVEVO,0.04750363548230732,3.2096884016208535e-05,0.001001367684593503
Half as Interesting,0.01793504604944256,2.1761270700386888e-05,0.00100022565175907
U2VEVO,0.07949587978671838,0.001042567058491638,0.0009888779681899577
GEazyMusicVEVO,0.07077072224915172,0.0005607596774216064,0.0009862594141251953
Jaiden Animations,0.023267086766844403,0.0012095993579488192,0.0009854418695798431
AnthonyPadilla,0.043141056713523994,0.00016317646085038564,0.0009852099928023658
Maroon5VEVO,0.06253029568589433,0.0005668386643744978,0.0009821243267551145
JunsKitchen,0.04507998061076103,7.590360285352344e-05,0.0009774228998327876
justintimberlakeVEVO,0.06301502666020359,0.00025478747923165693,0.000975453942546873
jennxpenn,0.08773630634997577,0.001961220309783094,0.000974867558189926
EminemVEVO,0.0780416868637906,0.005152424017263914,0.0009738066616161383
Business Insider,0.04653417353368881,0.013203106722289656,0.0009729408381439344
Apple,0.027629665535627727,0.008061197895596558,0.0009706625129512831
The Action Lab,0.07901114881240912,0.0015483092032030315,0.0009703964386036298
Genius,0.08240426563257393,0.002498328900161653,0.0009693805863823047
5SOSVEVO,0.06349975763451285,0.005089523295569296,0.0009666022903185186
Hevesh5,0.10033931168201649,0.001977625571328796,0.0009607953144057234
Epicurious,0.06253029568589433,0.005426389186122907,0.0009577602333373093
AaronsAnimals,0.011633543383422202,0.001105582112856349,0.0009553580432812946
Anwar Jibawi,0.04265632573921474,0.0004904182178595776,0.0009537603602287291
SelenaGomezVEVO,0.07319437712069801,0.001532152350675424,0.0009502382762596399
Hulu,0.09840038778477946,0.002350530631009928,0.0009474120700528216
BBC Three,0.0804653417353369,0.0017652152933946032,0.0009422512681623922
FaZe Rug,0.015026660203587009,0.00044651336311998276,0.0009357445536911859
Allure,0.07174018419777024,0.00025439901220009737,0.0009327879947940687
Davie504,0.08095007270964615,0.0008238510185866846,0.0009267151535693579
Variety,0.10082404265632575,0.001390237816014456,0.0009253487913349394
Good Mythical MORE,0.06301502666020359,4.454193545196398e-05,0.0009232697800636444
Casey Holmes,0.044110518662142516,0.0007559334216489972,0.0009215652560888476
Lionsgate Movies,0.018904507998061076,0.004813876377473761,0.0009188190605229217
Big Marvel,0.05865244789142027,0.0026658209739873024,0.0009180946951626748
Food Wishes,0.04750363548230732,0.002148528991961382,0.0009176199960423805
Kanye West - Topic,0.04944255937954436,0.00013432111853182413,0.000916852281141253
Chris Stuckmann,0.0896752302472128,0.0008254929887259881,0.0009164274552873175
HalseyVEVO,0.05622879301987397,8.270369386961525e-05,0.0009140382709019121
Cardi B,0.043625787687833255,0.00494433796509859,0.0009099379375067323
Wendover Productions,0.048473097430925836,0.014389791537446983,0.0009055210424438128
The Game Theorists,0.03538536112457586,0.0019269079382280927,0.000903724144180595
EnriqueIglesiasVEVO,0.043141056713523994,1.287522156171302e-05,0.0009011779748113223
JamesBayVEVO,0.058167716917111006,1.967307626875984e-05,0.0008961014333215158
PBS Eons,0.01793504604944256,7.350858629096295e-05,0.0008955061900134442
CamilaCabelloVEVO,0.06737760542898691,0.0005630646079615177,0.0008935589604252374
Kandee Johnson,0.04459524963645177,0.001361479268631601,0.0008876030786936051
Lindsey Stirling,0.07610276296655356,0.00262940959174217,0.0008868857694018607
Jason Derulo,0.06107610276296656,0.0013332502088594634,0.0008864764131962636
CBS Los Angeles,0.030053320407174018,0.00018682444432380058,0.0008852816143937517
Klossy,0.030053320407174018,5.880637407894708e-05,0.0008811924852698759
Primitive Technology,0.031992244304411055,0.0009235639040038296,0.0008761225562172487
ConnorFranta,0.04023267086766845,0.0015507213186820629,0.0008754634437745228
MSNBC,0.029083858458555503,1.504154384161721e-05,0.0008722385603986626
ProZD,0.02132816286960737,0.0006270494984281059,0.0008706705043737875
MinuteEarth,0.016965584100824042,8.895354058129164e-07,0.000866135579107118
MiguelVEVO,0.07077072224915172,0.0007542127371200355,0.0008645365506548358
JennaMarbles,0.02956858943286476,0.00033874890261771954,0.0008644860125333602
Impulse,0.06156083373727581,0.0001478432284280136,0.0008628636085510341
Call of Duty,0.013572467280659235,0.0017622252329512187,0.0008621111314894061
Clevver News,0.1047018904507998,0.0026550478014782785,0.0008620741210866623
Rita Ora,0.060106640814348036,0.0014116171510838301,0.0008594898985033455
BackstreetBoysVEVO,0.036839554047503636,1.4245110351866323e-05,0.0008570800017418494
How to DAD,0.031507513330101794,0.0015334044366515085,0.0008567126692213815
JerryRigEverything,0.0523509452253999,0.0018964826102476162,0.0008535042840003048
zefrank1,0.018904507998061076,2.8553128127310274e-05,0.000853335680376388
Christen Dominique,0.03926320891904993,0.0004271120000268801,0.0008525009580439473
杰威爾音樂 JVR Music,0.03829374697043141,0.0013662476937239686,0.0008503633438266849
The Daily Show with Trevor Noah,0.026660203587009212,0.00019954438126828532,0.0008499486330514781
MalumaVEVO,0.04944255937954436,3.360418182171835e-05,0.0008454643314486148
FifthHarmonyVEVO,0.03538536112457586,2.1347474247084225e-06,0.0008420440825336147
Kitchen Nightmares,0.08531265147842948,0.0003225149129001434,0.0008419337288618694
ElleOfTheMills,0.09161415414444983,0.0016438130767481237,0.0008416192277123833
RemyMaVEVO,0.06931652932622395,0.00030250809461228215,0.0008392099377443639
The Infographics Show,0.015511391177896268,0.00016467115765549244,0.0008381809515589608
LadyGagaVEVO,0.06398448860882211,0.0005680024061966228,0.0008372305414983466
Anna Akana,0.03974793989335919,0.001934392208384231,0.0008369782083328187
The School of Life,0.018419777023751818,0.0035914858720183717,0.0008359774753617527
Ladylike,0.026660203587009212,0.0019656898347115617,0.0008351853213610709
Gabbie Hanna,0.027629665535627727,0.0,0.0008222892772165401
Daddy Yankee,0.03538536112457586,2.1347474247084225e-06,0.0008221810887483797
Björk,0.06592341250605914,0.0024587067790727683,0.0008162877526023414
truTV,0.0605913717886573,4.578338515567153e-05,0.0008113587938959715
Brad Mondo,0.05913717886572952,0.0168683980228606,0.0008107267720117977
FoxStarHindi,0.05428986912263694,1.790623219493533e-06,0.0008089440490982235
Zoella,0.0407174018419777,0.0002385351492078745,0.0008073344918607079
DemiLovatoVEVO,0.06495395055744062,0.002128903816401309,0.0008050299321069455
USA TODAY,0.03538536112457586,0.003921606650736823,0.0008047242159002783
Because Science,0.018904507998061076,0.00022085528398054071,0.0008035696072900786
johnmayerVEVO,0.03926320891904993,0.0013068863211052925,0.0007996778864945567
Dan And Shay,0.03538536112457586,2.4410641570666542e-05,0.0007996661009925184
A24,0.02035870092098885,0.004340279720971364,0.0007962214892366095
FallOutBoyVEVO,0.06204556471158507,0.00044399736175410525,0.0007960250853460971
BBC,0.08579738245273874,0.0018553263215221713,0.0007930953813760266
Team Edge,0.02375181774115366,0.00037886490417120803,0.0007891292644852759
DanTDM,0.05913717886572952,0.008330573202203035,0.0007888450131637562
Shawn Mendes,0.052835676199709164,2.7207453929436027e-05,0.0007879528954586844
Taylor Swift,0.07028599127484246,0.002620201256109602,0.0007856073910180656
SugarlandVEVO,0.04265632573921474,8.405801417704084e-06,0.0007847288922887188
Doctor Mike,0.03344643722733883,0.004901220613826789,0.000774066054793799
DamonAndJo,0.03926320891904993,0.0024721130049085082,0.0007738912767132468
FiftyShadesVEVO,0.0547746000969462,0.00012781065368868314,0.0007733902386589104
Disney•Pixar,0.018904507998061076,0.0018657447213552387,0.000772258550277614
